Country,FirstPeakHeight,Maximum,DayOfFirstPeak,DayOfMaximum,DayOfFirstCase,TotalCases,MaxOverTotal,DaysFromFirstCaseToFirstPeak,DaysFromFirstCaseToMax,SecondPeak
Uganda,-0.310234397,-0.307367978,0.599513304,0.38955953,0.941527731,-0.246777203,0.204478464,0.110269994,-0.089982468,0
Ukraine,-0.146446238,-0.152012486,1.361953351,1.128109078,-0.029394332,-0.059200722,-0.829717222,1.42464894,1.17008671,0
United Arab Emirates,-0.166505155,-0.171038665,0.373605142,0.170730035,-1.86335823,-0.039414908,-0.915126261,1.395440519,1.142085173,0
United Kingdom,1.047612086,0.980569497,-0.812412709,-0.978124817,-1.755478,1.1376131,-0.799335167,0.110269994,-0.089982468,0
Uruguay,-0.31781572,-0.314558974,-1.207751993,-1.361076434,0.510006814,-0.24681295,-0.629916207,-1.525401583,-1.658068557,0
US,5.166007693,6.459809368,-0.84065123,1.128109078,-2.133058803,10.96517029,-0.964465121,0.28552052,2.262146665,1
Uzbekistan,-0.297125027,-0.270813744,-0.699458628,1.073401704,0.617887043,-0.216709737,-0.553191763,-1.058066847,0.778065188,1
Venezuela,-0.26806329,-0.267368058,1.390191871,1.155462765,0.563946929,-0.228112943,-0.124322239,1.13256473,0.890071337,0
Vietnam,-0.319711051,-0.316356723,0.14769698,-0.048099461,-2.186998917,-0.249449271,-0.137916958,1.337023677,1.086082099,0
West Bank and Gaza,-0.282752102,-0.281300614,1.390191871,1.155462765,0.078485897,-0.242925493,1.104870906,1.395440519,1.142085173,0
Yemen,-0.305180182,-0.30257398,1.051329628,0.827218522,2.020330024,-0.246106952,0.488320659,-0.00656369,-0.201988617,0
Zambia,-0.290649314,-0.288791236,0.14769698,-0.048099461,0.779707387,-0.244194502,1.000006216,-0.269439479,-0.454002453,0
Zimbabwe,-0.311497951,-0.308566477,0.514797743,0.30749847,0.887587617,-0.248475172,0.946261096,0.051853152,-0.145985543,0
