date,state,hospitalized
20200428,CO,994
20200427,CO,1007
20200426,CO,1046
20200425,CO,1084
20200424,CO,1084
20200423,CO,859
20200422,CO,851
20200421,CO,861
20200420,CO,874
20200419,CO,874
20200418,CO,843
20200417,CO,858
20200416,CO,859
20200415,CO,878
20200414,CO,888
20200413,CO,842
20200412,CO,822
20200411,CO,841
20200410,CO,842
20200409,CO,848
20200408,CO,833
20200407,CO,786
20200406,CO,786
20200405,CO,783
20200404,CO,777
20200403,CO,739
20200402,CO,698
20200401,CO,574
20200331,CO,503
20200330,CO,358
20200329,CO,332
20200328,CO,307
20200327,CO,278
20200326,CO,230
20200325,CO,152
20200324,CO,116
20200323,CO,74
20200322,CO,56
20200709,CT,90
20200708,CT,88
20200707,CT,83
20200706,CT,69
20200705,CT,95
20200704,CT,95
20200703,CT,95
20200702,CT,101
20200701,CT,100
20200630,CT,98
20200629,CT,99
20200628,CT,103
20200627,CT,106
20200626,CT,127
20200625,CT,122
20200624,CT,124
20200623,CT,138
20200622,CT,140
20200621,CT,149
20200620,CT,150
20200619,CT,172
20200618,CT,176
20200617,CT,186
20200616,CT,201
20200615,CT,203
20200614,CT,205
20200613,CT,233
20200612,CT,244
20200611,CT,246
20200610,CT,270
20200609,CT,293
20200608,CT,324
20200607,CT,333
20200606,CT,333
20200605,CT,350
20200604,CT,373
20200603,CT,406
20200602,CT,434
20200601,CT,454
20200531,CT,481
20200530,CT,533
20200529,CT,577
20200528,CT,648
20200527,CT,684
20200526,CT,694
20200525,CT,706
20200524,CT,701
20200523,CT,724
20200522,CT,740
20200521,CT,816
20200520,CT,887
20200519,CT,914
20200518,CT,920
20200517,CT,937
20200516,CT,994
20200515,CT,1033
20200514,CT,1103
20200513,CT,1158
20200512,CT,1189
20200511,CT,1212
20200510,CT,1242
20200509,CT,1301
20200508,CT,1327
20200507,CT,1385
20200506,CT,1445
20200505,CT,1500
20200504,CT,1488
20200503,CT,1551
20200502,CT,1592
20200501,CT,1592
20200430,CT,1650
20200429,CT,1691
20200428,CT,1732
20200427,CT,1758
20200426,CT,1766
20200425,CT,1810
20200424,CT,1877
20200423,CT,1947
20200422,CT,1972
20200421,CT,1949
20200420,CT,1919
20200419,CT,1938
20200418,CT,1946
20200417,CT,1946
20200416,CT,1926
20200415,CT,1908
20200414,CT,1779
20200413,CT,1760
20200412,CT,1654
20200411,CT,1593
20200410,CT,1562
20200409,CT,1464
20200408,CT,1308
20200407,CT,1308
20200406,CT,1221
20200405,CT,1142
20200404,CT,1033
20200403,CT,909
20200402,CT,827
20200401,CT,766
20200331,CT,608
20200330,CT,517
20200329,CT,404
20200328,CT,173
20200327,CT,173
20200326,CT,125
20200325,CT,113
20200324,CT,71
20200323,CT,54
20200322,CT,43
20200709,DC,92
20200708,DC,86
20200707,DC,90
20200706,DC,88
20200705,DC,87
20200704,DC,95
20200703,DC,110
20200702,DC,120
20200701,DC,119
20200630,DC,126
20200629,DC,121
20200628,DC,126
20200627,DC,136
20200626,DC,147
20200625,DC,157
20200624,DC,167
20200623,DC,171
20200622,DC,155
20200621,DC,168
20200620,DC,177
20200619,DC,184
20200618,DC,189
20200617,DC,197
20200616,DC,192
20200615,DC,191
20200614,DC,186
20200613,DC,197
20200612,DC,212
20200611,DC,238
20200610,DC,245
20200609,DC,255
20200608,DC,268
20200607,DC,285
20200606,DC,276
20200605,DC,273
20200604,DC,276
20200603,DC,285
20200602,DC,295
20200601,DC,302
20200531,DC,295
20200530,DC,317
20200529,DC,338
20200528,DC,343
20200527,DC,349
20200526,DC,353
20200525,DC,331
20200524,DC,324
20200523,DC,324
20200522,DC,342
20200521,DC,336
20200520,DC,336
20200519,DC,375
20200518,DC,374
20200517,DC,369
20200516,DC,382
20200515,DC,393
20200514,DC,397
20200513,DC,423
20200512,DC,416
20200511,DC,416
20200510,DC,447
20200509,DC,447
20200508,DC,447
20200507,DC,447
20200506,DC,447
20200505,DC,447
20200504,DC,447
20200427,DC,402
20200426,DC,402
20200425,DC,402
20200424,DC,402
20200423,DC,402
20200422,DC,402
20200421,DC,402
20200420,DC,402
20200419,DC,313
20200418,DC,313
20200417,DC,313
20200416,DC,313
20200415,DC,313
20200414,DC,295
20200413,DC,295
20200709,DE,63
20200708,DE,57
20200707,DE,56
20200706,DE,54
20200705,DE,53
20200704,DE,54
20200703,DE,57
20200702,DE,67
20200701,DE,68
20200630,DE,64
20200629,DE,72
20200628,DE,78
20200627,DE,83
20200626,DE,78
20200625,DE,93
20200624,DE,85
20200623,DE,91
20200622,DE,89
20200621,DE,79
20200620,DE,75
20200619,DE,75
20200618,DE,79
20200617,DE,83
20200616,DE,87
20200615,DE,88
20200614,DE,93
20200613,DE,93
20200612,DE,100
20200611,DE,109
20200610,DE,108
20200609,DE,108
20200608,DE,113
20200607,DE,103
20200606,DE,117
20200605,DE,128
20200604,DE,142
20200603,DE,153
20200602,DE,157
20200601,DE,159
20200531,DE,160
20200530,DE,174
20200529,DE,183
20200528,DE,192
20200527,DE,196
20200526,DE,201
20200525,DE,205
20200524,DE,211
20200523,DE,210
20200522,DE,221
20200521,DE,220
20200520,DE,220
20200519,DE,236
20200518,DE,240
20200517,DE,229
20200516,DE,250
20200515,DE,269
20200514,DE,273
20200513,DE,282
20200512,DE,276
20200511,DE,275
20200510,DE,285
20200509,DE,288
20200508,DE,289
20200507,DE,285
20200506,DE,299
20200505,DE,284
20200504,DE,281
20200503,DE,284
20200502,DE,300
20200501,DE,281
20200430,DE,296
20200429,DE,326
20200428,DE,337
20200427,DE,325
20200426,DE,317
20200425,DE,300
20200424,DE,277
20200423,DE,290
20200422,DE,269
20200421,DE,263
20200420,DE,256
20200419,DE,249
20200418,DE,224
20200417,DE,224
20200416,DE,209
20200415,DE,208
20200414,DE,204
20200413,DE,201
20200412,DE,190
20200411,DE,190
20200410,DE,181
20200409,DE,201
20200408,DE,147
20200407,DE,147
20200406,DE,101
20200405,DE,101
20200404,DE,95
20200403,DE,63
20200402,DE,56
20200401,DE,51
20200331,DE,57
20200330,DE,45
20200329,DE,33
20200328,DE,31
20200327,DE,15
20200326,DE,13
20200325,DE,11
20200520,FL,472
20200519,FL,472
20200518,FL,472
20200517,FL,472
20200516,FL,472
20200515,FL,472
20200514,FL,472
20200709,GA,2322
20200708,GA,2215
20200707,GA,2096
20200706,GA,1962
20200705,GA,1805
20200704,GA,1726
20200703,GA,1671
20200702,GA,1649
20200701,GA,1570
20200630,GA,1459
20200629,GA,1359
20200628,GA,1236
20200627,GA,1178
20200626,GA,1184
20200625,GA,1135
20200624,GA,1124
20200623,GA,1056
20200622,GA,1000
20200621,GA,944
20200620,GA,944
20200619,GA,937
20200618,GA,921
20200617,GA,881
20200616,GA,875
20200615,GA,865
20200614,GA,829
20200613,GA,810
20200612,GA,836
20200611,GA,842
20200610,GA,817
20200609,GA,834
20200608,GA,819
20200607,GA,783
20200606,GA,788
20200605,GA,790
20200604,GA,807
20200603,GA,815
20200602,GA,828
20200601,GA,841
20200531,GA,853
20200530,GA,850
20200529,GA,889
20200528,GA,903
20200527,GA,907
20200526,GA,854
20200525,GA,892
20200524,GA,848
20200523,GA,848
20200522,GA,889
20200521,GA,959
20200520,GA,959
20200519,GA,986
20200518,GA,1025
20200517,GA,1010
20200516,GA,1005
20200709,IA,168
20200708,IA,165
20200707,IA,165
20200706,IA,151
20200705,IA,141
20200704,IA,134
20200703,IA,146
20200702,IA,145
20200701,IA,149
20200630,IA,133
20200629,IA,119
20200628,IA,118
20200627,IA,131
20200626,IA,141
20200625,IA,137
20200624,IA,140
20200623,IA,163
20200622,IA,169
20200621,IA,170
20200620,IA,182
20200619,IA,197
20200618,IA,188
20200617,IA,188
20200616,IA,193
20200615,IA,197
20200614,IA,203
20200613,IA,200
20200612,IA,225
20200611,IA,242
20200610,IA,245
20200609,IA,255
20200608,IA,265
20200607,IA,269
20200606,IA,299
20200605,IA,299
20200604,IA,310
20200603,IA,314
20200602,IA,327
20200601,IA,339
20200531,IA,341
20200530,IA,368
20200529,IA,376
20200528,IA,383
20200527,IA,393
20200526,IA,379
20200525,IA,377
20200524,IA,363
20200523,IA,362
20200522,IA,362
20200521,IA,376
20200520,IA,381
20200519,IA,383
20200518,IA,382
20200517,IA,376
20200516,IA,387
20200515,IA,387
20200514,IA,405
20200513,IA,388
20200512,IA,385
20200511,IA,394
20200510,IA,413
20200509,IA,402
20200508,IA,407
20200507,IA,417
20200506,IA,414
20200505,IA,407
20200504,IA,389
20200503,IA,378
20200502,IA,353
20200501,IA,345
20200430,IA,335
20200429,IA,323
20200428,IA,304
20200427,IA,300
20200426,IA,286
20200425,IA,293
20200424,IA,278
20200423,IA,282
20200422,IA,272
20200421,IA,214
20200420,IA,214
20200419,IA,198
20200418,IA,193
20200417,IA,183
20200416,IA,175
20200415,IA,171
20200414,IA,163
20200413,IA,142
20200412,IA,129
20200411,IA,118
20200410,IA,125
20200409,IA,122
20200408,IA,122
20200407,IA,104
20200406,IA,99
20200405,IA,91
20200404,IA,85
20200403,IA,80
20200402,IA,74
20200401,IA,63
20200331,IA,61
20200330,IA,51
20200329,IA,51
20200328,IA,46
20200327,IA,32
20200326,IA,31
20200325,IA,23
20200709,ID,91
20200708,ID,50
20200707,ID,50
20200706,ID,75
20200705,ID,75
20200704,ID,75
20200703,ID,42
20200702,ID,42
20200701,ID,42
20200630,ID,42
20200629,ID,42
20200628,ID,42
20200627,ID,35
20200626,ID,44
20200625,ID,41
20200624,ID,31
20200623,ID,34
20200622,ID,36
20200621,ID,41
20200620,ID,33
20200619,ID,28
20200618,ID,23
20200617,ID,27
20200616,ID,23
20200615,ID,21
20200614,ID,25
20200613,ID,25
20200612,ID,18
20200611,ID,26
20200610,ID,20
20200609,ID,23
20200608,ID,29
20200607,ID,33
20200606,ID,24
20200605,ID,28
20200604,ID,27
20200603,ID,32
20200602,ID,35
20200601,ID,30
20200531,ID,34
20200530,ID,36
20200529,ID,34
20200528,ID,35
20200527,ID,29
20200526,ID,28
20200525,ID,17
20200524,ID,27
20200523,ID,26
20200522,ID,23
20200521,ID,28
20200520,ID,31
20200519,ID,28
20200518,ID,33
20200517,ID,32
20200516,ID,23
20200515,ID,29
20200514,ID,21
20200513,ID,21
20200512,ID,25
20200511,ID,31
20200510,ID,25
20200509,ID,19
20200508,ID,16
20200507,ID,22
20200506,ID,22
20200505,ID,45
20200504,ID,31
20200503,ID,27
20200502,ID,24
20200501,ID,32
20200430,ID,38
20200429,ID,41
20200428,ID,44
20200427,ID,41
20200426,ID,44
20200425,ID,41
20200424,ID,34
20200423,ID,56
20200422,ID,56
20200421,ID,71
20200420,ID,54
20200419,ID,44
20200418,ID,54
20200417,ID,59
20200416,ID,71
20200415,ID,67
20200414,ID,60
20200413,ID,62
20200412,ID,63
20200411,ID,61
20200410,ID,67
20200409,ID,70
20200408,ID,62
20200407,ID,67
20200406,ID,62
20200405,ID,51
20200404,ID,53
20200403,ID,45
20200402,ID,49
20200401,ID,49
20200331,ID,45
20200330,ID,42
20200329,ID,35
20200328,ID,38
20200327,ID,31
20200326,ID,34
20200709,IL,1507
20200708,IL,1385
20200707,IL,1385
20200706,IL,1395
20200705,IL,1326
20200704,IL,1346
20200703,IL,1349
20200702,IL,1651
20200701,IL,1511
20200630,IL,1560
20200629,IL,1501
20200628,IL,1464
20200627,IL,1516
20200626,IL,1516
20200625,IL,1626
20200624,IL,1614
20200623,IL,1648
20200622,IL,1628
20200621,IL,1631
20200620,IL,1696
20200619,IL,1837
20200618,IL,1878
20200617,IL,1878
20200616,IL,1939
20200615,IL,1961
20200614,IL,1914
20200613,IL,2117
20200612,IL,2209
20200611,IL,2365
20200610,IL,2458
20200609,IL,2573
20200608,IL,2496
20200607,IL,2550
20200606,IL,2702
20200605,IL,2911
20200604,IL,3044
20200603,IL,3173
20200602,IL,3238
20200601,IL,3215
20200531,IL,3296
20200530,IL,3336
20200529,IL,3599
20200528,IL,3649
20200527,IL,3826
20200526,IL,3788
20200525,IL,3762
20200524,IL,3667
20200523,IL,3753
20200522,IL,3928
20200521,IL,4107
20200520,IL,3914
20200519,IL,4002
20200518,IL,4120
20200517,IL,4190
20200516,IL,4306
20200515,IL,4367
20200514,IL,4473
20200513,IL,4563
20200512,IL,4626
20200511,IL,4319
20200510,IL,4293
20200509,IL,4739
20200508,IL,4750
20200507,IL,4862
20200506,IL,4832
20200505,IL,4780
20200504,IL,4493
20200503,IL,4701
20200502,IL,4717
20200501,IL,4900
20200430,IL,4953
20200429,IL,5036
20200428,IL,4738
20200427,IL,4672
20200426,IL,4595
20200425,IL,4699
20200424,IL,4828
20200423,IL,4877
20200422,IL,4665
20200421,IL,4776
20200420,IL,4599
20200419,IL,4314
20200418,IL,4340
20200417,IL,4454
20200416,IL,4423
20200415,IL,4283
20200414,IL,4283
20200413,IL,3680
20200412,IL,3680
20200411,IL,3680
20200410,IL,3680
20200409,IL,3680
20200408,IL,3680
20200407,IL,3680
20200709,IN,686
20200708,IN,667
20200707,IN,655
20200706,IN,613
20200705,IN,632
20200704,IN,632
20200703,IN,633
20200702,IN,644
20200701,IN,668
20200630,IN,695
20200629,IN,626
20200628,IN,617
20200627,IN,595
20200626,IN,692
20200625,IN,723
20200624,IN,701
20200623,IN,736
20200622,IN,756
20200621,IN,744
20200620,IN,768
20200619,IN,773
20200618,IN,754
20200617,IN,789
20200616,IN,860
20200615,IN,882
20200614,IN,869
20200613,IN,871
20200612,IN,906
20200611,IN,887
20200610,IN,894
20200609,IN,853
20200608,IN,902
20200607,IN,913
20200606,IN,926
20200605,IN,924
20200604,IN,979
20200603,IN,1017
20200602,IN,961
20200601,IN,1041
20200531,IN,1050
20200530,IN,1149
20200529,IN,1149
20200528,IN,1131
20200527,IN,1122
20200526,IN,1088
20200525,IN,1102
20200524,IN,1112
20200523,IN,1138
20200522,IN,1203
20200521,IN,1166
20200520,IN,1288
20200519,IN,1268
20200518,IN,1244
20200517,IN,1246
20200516,IN,1274
20200515,IN,1294
20200514,IN,1381
20200513,IN,1336
20200512,IN,1283
20200511,IN,1346
20200510,IN,1328
20200509,IN,1361
20200508,IN,1379
20200507,IN,1457
20200506,IN,1558
20200505,IN,1537
20200504,IN,1449
20200503,IN,1398
20200502,IN,1456
20200501,IN,1431
20200430,IN,1466
20200429,IN,1484
20200428,IN,1518
20200427,IN,1493
20200426,IN,1446
20200425,IN,1515
20200709,KY,457
20200708,KY,453
20200707,KY,421
20200706,KY,433
20200705,KY,455
20200704,KY,455
20200703,KY,455
20200702,KY,430
20200701,KY,427
20200630,KY,408
20200629,KY,381
20200628,KY,386
20200627,KY,387
20200626,KY,387
20200625,KY,377
20200624,KY,335
20200623,KY,376
20200622,KY,349
20200621,KY,354
20200620,KY,354
20200619,KY,339
20200618,KY,400
20200617,KY,416
20200616,KY,395
20200615,KY,383
20200614,KY,410
20200613,KY,410
20200612,KY,514
20200611,KY,514
20200610,KY,508
20200609,KY,525
20200608,KY,486
20200607,KY,495
20200606,KY,495
20200605,KY,505
20200604,KY,518
20200603,KY,488
20200602,KY,481
20200601,KY,457
20200531,KY,480
20200530,KY,499
20200529,KY,494
20200528,KY,512
20200527,KY,489
20200526,KY,484
20200525,KY,484
20200524,KY,484
20200523,KY,477
20200522,KY,475
20200521,KY,474
20200520,KY,443
20200519,KY,447
20200518,KY,381
20200517,KY,381
20200516,KY,381
20200515,KY,385
20200514,KY,377
20200513,KY,379
20200512,KY,383
20200511,KY,394
20200510,KY,394
20200509,KY,369
20200508,KY,356
20200507,KY,351
20200506,KY,347
20200505,KY,333
20200504,KY,329
20200503,KY,334
20200502,KY,334
20200501,KY,330
20200430,KY,325
20200429,KY,320
20200428,KY,313
20200427,KY,308
20200426,KY,301
20200425,KY,303
20200424,KY,302
20200423,KY,301
20200422,KY,286
20200421,KY,263
20200420,KY,274
20200419,KY,274
20200418,KY,360
20200417,KY,477
20200416,KY,412
20200415,KY,305
20200414,KY,299
20200413,KY,289
20200412,KY,271
20200411,KY,271
20200410,KY,271
20200709,LA,1042
20200708,LA,1022
20200707,LA,1025
20200706,LA,964
20200705,LA,926
20200704,LA,852
20200703,LA,852
20200702,LA,840
20200701,LA,799
20200630,LA,781
20200629,LA,737
20200628,LA,715
20200627,LA,700
20200626,LA,700
20200625,LA,653
20200624,LA,631
20200623,LA,646
20200622,LA,630
20200621,LA,589
20200620,LA,574
20200619,LA,561
20200618,LA,585
20200617,LA,585
20200616,LA,588
20200615,LA,568
20200614,LA,556
20200613,LA,542
20200612,LA,549
20200611,LA,553
20200610,LA,549
20200609,LA,568
